SMILES,property_CpG_Abs,property_LPS_Abs,property_LPS_Lum,property_MPLA_Abs,property_MPLA_Lum,property_cGAMP_Abs,property_cGAMP_Lum
c1ccc2[nH]c(-c3cscn3)nc2c1,0,0,0,0,1,0,0
O=c1[nH]nc(Br)c(=O)[nH]1,0,0,0,0,0,0,0
CC(=O)c1ccc(Nc2ncnc(Nc3ccc(C(C)=O)cc3)c2[N+](=O)[O-])cc1,0,0,0,0,0,0,0
Cc1nc(-c2ccc(S(=O)(=O)N3C4CCC3CC(Oc3cccnc3)C4)cc2)co1,0,0,0,0,0,0,0
O=C(O)CN(Cc1ccccc1)S(=O)(=O)c1ccc(Cl)cc1,0,0,0,0,0,0,0
O.O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,0,0,0,0,0,0,0
CCC(C)(C)C(=O)Nc1ccc(C(C)=O)cc1,0,0,0,0,0,0,0
CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,0,0,0,0,0,0,0
CCCCCCCCCCCCCCCCCC(=O)O,0,0,0,0,0,0,0
CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,0,0,0,0,0,0,0
Cc1c(C(=O)ON=C(N)c2ccncc2)cccc1[N+](=O)[O-],0,0,0,0,0,1,1
CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1.Cl.Cl.Cl,0,0,0,0,0,0,0
O=C(CCCN1C(=O)c2cccc3cccc(c23)C1=O)NCCO,0,0,0,0,0,0,0
COc1cc2c(cc1OC)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,0,0,0,0,0,0,0
CC(=O)N[C@@H](CS)C(=O)O,0,0,0,0,0,0,0
COc1cc2c(cc1OC)C1C(=O)c3ccc4c(c3OC1CO2)CC(C(C)C)O4,0,0,0,0,0,1,0
CC12CCC3C(CC=C4CC(O)CCC43C)C1CC(=Cc1cccc(F)c1)C2=O,0,0,0,0,0,0,0
Nc1ccncc1,0,0,0,0,0,1,0
Cc1cc(C)n(CCC(=O)N2CCc3nc4ccc(F)cn4c(=O)c3C2)n1,0,0,0,0,0,0,0
Cl.c1ccc(CC2=NCCN2)cc1,0,0,0,0,0,0,0
COc1ccc(NC(=O)CN(c2ccc(C)c(C)c2)S(C)(=O)=O)cc1,0,0,0,0,0,0,0
C#CCOC(=O)CCCC(=O)Nc1ccc([N+](=O)[O-])cc1Cl,0,0,0,0,0,0,0
CCC1(CC)Cc2ccccc2C(CC(=O)N2CCOCC2)=N1.O=S(=O)(O)O,1,0,0,0,0,0,0
COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,0,0,0,0,0,0,0
N#Cc1nc(-c2ccc(COc3ccccc3)o2)oc1N1CCCCC1,0,0,0,0,0,0,0
Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,0,0,0,0,1,0,0
C=CC(=O)N1CC(N2CCN(C(=O)CNc3cc(C4(C)CC4)c(Cl)cc3O)CC2)C1,1,1,1,1,0,0,1
CC(NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,1,1,0,0,0,0,0
O=S1(=O)CCC(NCc2ccccc2C(F)(F)F)C1,0,0,0,0,0,0,0
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(N(C)C)c3ccccc32)cc1,0,0,0,0,0,0,0
CC(O)c1cn(-c2cccc(C(F)(F)F)c2)nn1,0,0,0,0,0,1,0
CCNCC.O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0,0,0,0,0,0,0
COc1ccc(C=NNc2nc(Nc3ccc(C)cc3Br)nc(N3CCOCC3)n2)c(OC)c1,1,0,0,0,0,1,0
CC(C)n1c(=O)n(C)c2cnc3cc(F)c(-c4ccc(OCCCN5CCCCC5)nc4)cc3c21,1,0,1,0,0,0,1
O=C(Oc1ccc(Cl)c2cccnc12)c1cccc(Cl)c1,0,0,0,0,0,0,0
O=C1C(=CNCCN2CCOCC2)C(C(F)(F)F)=NN1c1nc2ccccc2s1,0,0,0,0,0,0,0
CCCCOC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1cccc(C(F)(F)F)c1,0,0,0,0,0,0,0
O=C(/C=C/N1CC2CC1CN2c1ccccn1)c1ccccc1O,0,0,0,0,0,0,0
CC(C)C(C(=O)Nc1ccc(F)cc1)N1C(=O)c2ccccc2C1=O,0,0,0,0,0,0,0
COCCOc1nc(N)c2[nH]c(=O)n(Cc3ccc(C(=O)O)cc3)c2n1,0,0,0,0,0,0,0
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,0,0,0,0,0,0,0
O=C(O)CCCNC(=O)c1cccc([N+](=O)[O-])c1,0,0,0,0,0,0,0
Cl.Cl.O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12,1,0,0,0,0,0,0
CC[C@@H](C(N)=O)N1CCCC1=O,0,0,0,0,0,0,0
CCOC(=O)C1=C(C)NC(=S)NC1c1ccccc1OCc1ccccc1,0,0,0,0,0,0,0
CC1(C)CC(=O)c2sc(NC(=O)c3ccccc3)nc2C1,0,0,0,0,0,0,0
CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O.Cl.O,0,0,0,0,0,0,0
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1.Cl.Cl,0,1,0,0,0,1,0
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0,0,0,0,0,0,0
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0,0,0,0,0,0,0
COc1ccccc1N1C(=O)C(=Cc2ccc3c(c2)OCO3)SC1=S,0,0,0,0,0,0,0
COC(=O)c1c2c(c3ccccc3c1O)OC(C)(C)C=C2,0,0,1,0,0,0,1
Cc1ccc(C2(c3ccc(C)cc3)CC2C(=O)Nc2cccnc2)cc1,0,0,0,1,0,0,0
COC(=O)CSc1nc(O)c2c(C)c(C)sc2n1,0,0,0,0,0,0,0
N#Cc1c(NC(NC(=O)c2cccs2)C(Cl)(Cl)Cl)sc2c1CCCC2,0,0,1,0,1,0,0
Cc1cc(CNC(=O)CCc2ccc(S(C)(=O)=O)cc2)c(C)o1,0,0,0,0,0,0,0
CC(NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O.CS(=O)(=O)O,0,0,0,0,1,0,0
Fc1ccccc1C=NNc1nc(-c2ccccc2)cc(-c2ccccc2)n1,0,0,0,0,0,0,0
COc1ccc(C)cc1NC(=O)CN(c1cccc(Br)c1)S(=O)(=O)c1ccccc1,0,0,0,0,0,0,0
O=S(=O)(c1ccc(-n2cccn2)cc1)N1CC(n2cc(C3CC3)nn2)C1,0,0,0,0,0,0,0
O=S(=O)(c1ccc(F)cc1)n1cccc1,0,1,0,0,0,0,0
CC1=C(C(=O)N2CCOCC2)C(c2cccs2)NC(=O)N1,0,0,0,0,0,0,0
NC(=O)CN1CC(O)CC1=O,0,0,0,0,0,0,0
CCOc1ccc(NC(=O)CC2Nc3cccc4cccc(c34)NC2=O)cc1,0,0,0,0,0,0,0
CCN(CC)c1ccc(C=Nc2c(C)cc(C)cc2C)cc1,0,0,0,0,0,0,0
COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1,0,0,1,0,1,0,0
COc1ccc(C2N3CC4(C)CN2CC(C)(C3)C4O)cc1,0,0,0,0,0,0,0
O=C1NC(=O)/C(=C/c2ccc3c(c2)OC(F)(F)O3)S1,1,1,0,1,0,0,0
