SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Lum,MPLA Abs,MPLA Lum,CpG Abs,cGAMP Abs,cGAMP Lum,LMCpG Abs,LMcGAMP Lum
Cc1nnc(NN=Cc2ccc(O)c([N+](=O)[O-])c2)[nH]c1=O,0.761287574112668,0.4684338071853703,-0.18239617085329296,-0.2969407905212452,-0.10362251902274704,-0.3624749041555634,0.4094180601097295,-0.16723870375954564,0.38573359739246377,0.01491131504923993,-0.16562759693108975
CCOCC(=O)Nc1nc2c(C(F)(F)F)cccc2s1,0.5895298234381439,0.6074942537133775,-0.29266138218414495,-0.12108741491736238,0.0031480808331887434,-0.29970920555736935,0.7391945478673836,-0.1584628742017642,0.343672253060695,0.11943807381523502,-0.06826260273059206
CC(/C=C/C=C(\C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,-0.5794194778188269,-0.6761984576797138,0.006454203340402504,-0.21185117780992074,-0.10248538721214166,0.333740701236323,-0.035668858977644415,0.12518573762097418,0.269905478603988,-0.04917550488564378,0.14266831355891524
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,-0.9017248070168615,-0.603603179785732,-0.5627704850028237,-0.20092007148498606,-0.7051691006882221,-0.22703057141641922,-0.2737230825242126,0.028817537697202272,1.351163909200654,-0.6690718712826439,0.2858700225550879
CC(=NNC(=O)COc1ccc(Cl)cc1[N+](=O)[O-])c1cccc(Br)c1,0.9048553781003356,0.6319650110163484,0.07686971769813479,1.110242217121354,-0.5796356469396884,0.19666757532870527,0.011575396188335106,-0.04356412016729734,0.39697335482289,-0.17816908723520689,0.7631043236193849
CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12,-0.6871177780864978,-0.6386007335489156,0.9778115537551441,-0.834121317293296,0.895293511478339,-1.3754538314191875,0.6172243258587043,0.33788466475856943,-1.6604447472778967,1.087815047373843,-1.6049831018467688
COc1ccc(C(=O)C=Cc2cc(OC)c(OC)c(OC)c2)c(O)c1,-2.573371333401865,-1.4424865057786735,-2.2180143290225174,-2.947634352942374,-2.710675026799355,-3.389793807715797,2.427214783728147,-1.6439339937070745,-2.8336068377875803,-1.3176446327281477,-3.934336595416783
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.2586545575036293,-0.6304798223059789,0.4996647766064454,-0.6138854463546237,-0.11973895106473723,-0.3880687974346339,0.5535325805892427,0.3334697803708224,0.37941612362154953,0.4216318454501337,-0.33165676913109826
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2.Cl,0.8418655776383202,0.9548929919072717,-0.5679601180489426,0.9491283938926912,-0.0004680253705588053,1.3782106987182652,-0.8808821169267225,-0.5892490687408874,0.315047095562131,-0.6246197841812795,1.1803859574582298
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-1.9818832075724386,-1.9827994712599883,-0.25692936483586876,-0.11812415766040996,0.5529337257003243,0.18414475409264594,-0.2455206760012671,0.1487036394229688,-0.11318389972363105,-0.013355444715120436,-0.015606222724475755
