Catalog,PME Code,SMILES,Viability Mask 1,Viability Mask 2,LPS Abs,LPS Abs Std,LPS Lum,LPS Lum Std,MPLA Abs,MPLA Abs Std,MPLA Lum,MPLA Lum Std,CpG Abs,CpG Abs Std,cGAMP Abs,cGAMP Abs Std,cGAMP Lum,cGAMP Lum Std,LMCpG Abs,LMCpG Abs Std,LMcGAMP Lum,LMcGAMP Lum Std
S1541,Primary,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,94.27639,90.52277,1.093940258,0.148531437,0.919312954,0.055010904,1.082616091,0.20829156,0.912416339,0.132629573,1.103356838,0.046682857,1.163584709,0.1766708639999999,1.095278263,0.045682885,1.0933043956666666,0.1501402132255057,0.9756691853333334,0.0869937338260305
S1545,Primary,Cc1cc(NC(=O)Nc2ccc(N(C)C)cc2)c2cc(F)cc(F)c2n1,93.80784,89.66912,1.596222758,0.240164965,0.3483914729999999,0.03702686,1.0444905759999998,0.057987269,0.85816586,0.10896387,1.1707015040000002,0.056460347,1.164500237,0.184771672,0.983986735,0.038079541,1.2704716126666666,0.1463209993620077,0.730181356,0.0699861052152668
S1547,Primary,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,92.73875,91.29118,1.091580987,0.166097566,1.0361895559999998,0.067768186,1.037036657,0.042612866,1.077247143,0.05805115,1.259769917,0.052846294,1.120382547,0.169476837,1.073777914,0.043121938,1.1294625203333333,0.1035969571132806,1.062404871,0.0572187748526913
S1548,Primary,CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1,95.57056,90.91222,1.042158365,0.175282121,0.922246456,0.078651465,1.032901287,0.04831877,0.987422228,0.067434549,1.20472312,0.0767157,1.14291954,0.1737664639999999,1.020353436,0.11051219,1.093260924,0.1139353970503483,0.97667404,0.0874574477180678
S1550,Primary,COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1,74.46644,79.53015,1.304314852,0.174158588,0.93385154,0.0896015169999999,1.339707136,0.067774519,1.241405964,0.068925478,2.47066021,0.12437088,1.615319371,0.2431999889999999,0.29351899,0.042134788,1.7048940660000005,0.129605446119893,0.822925498,0.0696526949132496
S1555,Primary,COc1ccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)cc1CO,72.54575,81.49707,1.620965838,0.217830092,0.420869142,0.068028137,1.530373335,0.062554866,0.505863965,0.060877189,1.12159586,0.056654129,1.6041340830000002,0.241411805,0.3215202689999999,0.024162455,1.4243116776666669,0.1348737070667161,0.4160844586666666,0.0545212001453242
S1557,Primary,CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,89.55665,90.01243,0.911710024,0.147660717,0.855811715,0.045734063,1.120093346,0.0807565,0.930152655,0.088608645,1.115485907,0.0530207829999999,1.066424251,0.160847858,0.817209601,0.06616009,1.0490964256666666,0.1018765643105046,0.867724657,0.0690899268973224
S1561,Primary,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,88.39461,90.51006,0.469048142,0.067868762,0.349390447,0.0289568879999999,0.669445217,0.029909946,0.502293468,0.052938607,0.555582523,0.026074771,1.022556186,0.156739086,0.391491294,0.049090758,0.5646919606666666,0.045389673597409,0.4143917363333333,0.0449106520206492
S1567,Primary,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,97.7186,86.39088,1.164671183,0.166963026,0.733559847,0.1105393019999999,1.070871115,0.0469223259999999,0.8637618420000001,0.03550997,1.166425705,0.049202874,1.301896334,0.199425548,1.172489405,0.055258092,1.1339893343333334,0.1040821463047126,0.9232703646666668,0.0742369000509597
S1573,Primary,Cl.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,95.91967,93.47171,0.727924109,0.098048858,0.514565587,0.0558010529999999,0.974695444,0.073655613,0.550120711,0.019994374,0.899824381,0.062478032,1.131290436,0.17058529,0.8110077379999999,0.0484430229999999,0.8674813113333334,0.0794611694773049,0.6252313453333334,0.0441975074144051
S1574,Primary,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,94.82142,92.74093,0.476905167,0.074783973,0.4632700979999999,0.0236696679999999,0.8043687340000001,0.033759885,0.5722492929999999,0.05513718,0.448821187,0.0481646809999999,1.577896595,0.237573013,1.231218815,0.1264884319999999,0.5766983626666667,0.0549308927917909,0.755579402,0.0808283886420301
